#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Double Dragon (Europe) (Disk 2);Double Dragon - Disk 2;Atari ST;;1988;;;;;;;;;;;;
Double Dragon 3 - The Rosetta Stone (Europe) (Disk 1);Double Dragon 3: The Rosetta Stone - Disk 1;Atari ST;;1991;;;;;;;;;;;;
Double Dragon 3 - The Rosetta Stone (Europe) (Disk 2);Double Dragon 3: The Rosetta Stone - Disk 2;Atari ST;;1991;;;;;;;;;;;;
Double Dragon II - The Revenge (Europe) (Disk 1);Double Dragon II: The Revenge - Disk 1;Atari ST;;1989;;;;;;;;;;;;
Double Dragon II - The Revenge (Europe) (Disk 2);Double Dragon II: The Revenge - Disk 2;Atari ST;;1989;;;;;;;;;;;;
Dragon Breed (Europe);Dragon Breed;Atari ST;;1989;;;;;;;;;;;;
Dungeon Master (Europe);Dungeon Master;Atari ST;;1987;;;;;;;;;;;;
Dynamite Dux (Europe);Dynamite Dux;Atari ST;;1989;;;;;;;;;;;;
Dynasty Wars (Europe);Dynasty Wars;Atari ST;;1990;;;;;;;;;;;;
Edd the Duck! (Europe);Edd the Duck!;Atari ST;;1990;;;;;;;;;;;;
Elf (Europe) (Disk 1);Elf - Disk 1;Atari ST;;1991;;;;;;;;;;;;
Elf (Europe) (Disk 2);Elf - Disk 2;Atari ST;;1991;;;;;;;;;;;;
Elvira - The Arcade Game (Europe);Elvira: The Arcade Game;Atari ST;;1991;;;;;;;;;;;;
Epic (Europe) (Disk 1);Epic - Disk 1;Atari ST;;1992;;;;;;;;;;;;
Epic (Europe) (Disk 2);Epic - Disk 2;Atari ST;;1992;;;;;;;;;;;;
Erik (Europe);Erik;Atari ST;;1992;;;;;;;;;;;;
Escape from the Planet of the Robot Monsters (Europe);Escape from the Planet of the Robot Monsters;Atari ST;;1990;;;;;;;;;;;;
Face Off (Europe);Face Off;Atari ST;;1988;;;;;;;;;;;;
Final Blow (Europe);Final Blow;Atari ST;;1991;;;;;;;;;;;;
Fire and Brimstone (Europe);Fire and Brimstone;Atari ST;;1990;;;;;;;;;;;;
Fire and Forget II - The Death Convoy (Europe);Fire and Forget II: The Death Convoy;Atari ST;;1990;;;;;;;;;;;;
Flimbo's Quest (Europe);Flimbo's Quest;Atari ST;;1990;;;;;;;;;;;;
Flying Shark (Europe);Flying Shark;Atari ST;;1988;;;;;;;;;;;;
Football Champ (Europe);Football Champ;Atari ST;;1990;;;;;;;;;;;;
Forgotten Worlds (Europe);Forgotten Worlds;Atari ST;;1988;;;;;;;;;;;;
Formula One Grand Prix (Europe) (Disk 1);Formula One Grand Prix - Disk 1;Atari ST;;1991;;;;;;;;;;;;
Formula One Grand Prix (Europe) (Disk 2);Formula One Grand Prix - Disk 2;Atari ST;;1991;;;;;;;;;;;;
Frogger! (USA) (Unl);Frogger!;Atari ST;;1993;;;;;;;;;;;;
Galactic Conqueror (Europe);Galactic Conqueror;Atari ST;;1988;;;;;;;;;;;;
Galaxy Force II (Europe);Galaxy Force II;Atari ST;;1989;;;;;;;;;;;;
Gauntlet II (Europe);Gauntlet II;Atari ST;;1986;;;;;;;;;;;;
Gemini Wing (Europe);Gemini Wing;Atari ST;;1989;;;;;;;;;;;;
Ghost Battle (Europe);Ghost Battle;Atari ST;;1991;;;;;;;;;;;;
Ghosts 'n' Goblins (Europe);Ghosts 'n' Goblins;Atari ST;;1990;;;;;;;;;;;;
