#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Black Pyramid (Bally) (1984) (1.0);Black Pyramid;Future Pinball;;1984;Bally;;;;;;0;;;;;;;;;
Black Rose (Bally) (1992) (WIP);Black Rose;Future Pinball;;1992;Bally;;;;;;0;;;;;;;;;
Blood Rayne (Original) (v1.3);Blood Rayne;Future Pinball;;2010;Original;;;;;;0;;;;;;;;;
Blood Scream (Original) (2014) (1.3);Blood Scream;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Blue Vs Pink (Original) (1.0);Blue Vs Pink;Future Pinball;;2009;Original;;;;;;0;;;;;;;;;
Bond 50 (Anniversary Edition) (1.0);Bond 50 (Anniversary Edition);Future Pinball;;2013;Original;;;;;;0;;;;;;;;;
Bow and Arrow (Bally) (1974) (1.0);Bow and Arrow;Future Pinball;;1974;Bally;;;;;;0;;;;;;;;;
Bram Stoker's Dracula (Williams) (1993) (1.0);Bram Stoker's Dracula;Future Pinball;;1993;Williams;;;;;;0;;;;;;;;;
Bubble Bobble (Original) (1.0);Bubble Bobble;Future Pinball;;2006;Original;;;;;;0;;;;;;;;;
Buccaneer (Gottlieb) (1976) (1.0);Buccaneer;Future Pinball;;1976;Gottlieb;;;;;;0;;;;;;;;;
Bugs Bunny Birthday Ball (Williams) (1991) (1.0);Bugs Bunny Birthday Ball;Future Pinball;;1991;Williams;;;;;;0;;;;;;;;;
CSI (Stern) (2008) (0.60b);CSI;Future Pinball;;2008;Stern;;;;;;0;;;;;;;;;
Cactus Canyon (Midway) (1998) (1.0);Cactus Canyon;Future Pinball;;1998;Midway;;;;;;0;;;;;;;;;
Captain Planet (Original) (2015) (1.0);Captain Planet;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Cartoons (Original) (2.0);Cartoons;Future Pinball;;2011;Original;;;;;;0;;;;;;;;;
Castlevania (Original) (2015) (1.0);Castlevania;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Castlevania Symphony of the Night (Original) (2015) (1.1);Castlevania Symphony of the Night;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Castlevania Vampire Rising (Original) (2015) (1.2);Castlevania Vampire Rising;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Centaur (Bally) (1981) (Ultimate Edition) (1.01);Centaur (Ultimate Edition);Future Pinball;;1981;Bally;;;;;;0;;;;;;;;;
Centigrade 37 (Gottlieb) (1977) (UE) (1.02);Centigrade 37 (UE);Future Pinball;;1977;Gottlieb;;;;;;0;;;;;;;;;
Chamber Of Chills (Original) (2014) (1.0);Chamber Of Chills;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
