#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Arch Rivals (USA, Europe);Arch Rivals;Sega Game Gear;;1992;;;;;;;;;;;;;;;;
Arch Rivals - A Basket Brawl! (USA);Arch Rivals: A Basketbrawl!;Nintendo Entertainment System;;1990;;;;;;;;;;;;;;;;
Arch Rivals - The Arcade Game (USA, Europe);Arch Rivals: The Arcade Game;Sega Genesis;;1992;;;;;;;;;;;;;;;;
arlingtn;Arlington Horse Racing;Arcade;;1991;;;;;;;;;;;;;;;;
armchmp2;Arm Champs II v2.6;Arcade;;1992;;;;;;;;;;;;;;;;
armwrest;Arm Wrestling;Arcade;;1985;;;;;;;;;;;;;;;;
mt_tgolf;Arnold Palmer Tournament Golf;Arcade;;1989;;;;;;;;;;;;;;;;
Arnold Palmer Tournament Golf (USA, Europe);Arnold Palmer Tournament Golf;Sega Genesis;;1989;;;;;;;;;;;;;;;;
ashnojoe;Ashita no Joe;Arcade;scessjoe;1990;;;;;;;;;;;;;;;;
abaseb;Atari Baseball;Arcade;;1979;;;;;;;;;;;;;;;;
atarifb4;Atari Football;Arcade;atarifb;1979;;;;;;;;;;;;;;;;
mgolf;Atari Mini Golf;Arcade;;1978;;;;;;;;;;;;;;;;
soccer;Atari Soccer;Arcade;;1980;;;;;;;;;;;;;;;;
Athletic World (USA);Athletic World;Nintendo Entertainment System;;1987;;;;;;;;;;;;;;;;
atlantol;Atlant Olimpic;Arcade;trackfld;1996;;;;;;;;;;;;;;;;
ATP Tour Championship Tennis (USA);ATP Tour Championship Tennis;Sega Genesis;;1994;;;;;;;;;;;;;;;;
Aussie Rules Footy (Australia);Aussie Rules Footy;Nintendo Entertainment System;;1991;;;;;;;;;;;;;;;;
Australian Rugby League (Europe);Australian Rugby League;Sega Genesis;;1994;;;;;;;;;;;;;;;;
AWS Pro Moves Soccer (USA);AWS Pro Moves Soccer;Sega Genesis;;1993;;;;;;;;;;;;;;;;
Baby Felix Tennis;Baby Felix Tennis;Sony Playstation;;2001;;;;;;;;;;;;;;;;
bssoccer;Back Street Soccer;Arcade;;1996;;;;;;;;;;;;;;;;
Backstreet Billiards;Backstreet Billiards;Sony Playstation;;1998;;;;;;;;;;;;;;;;
Backyard Sports - Baseball 2007 (USA);Backyard Baseball 2007;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;;;;;
Backyard Basketball (USA);Backyard Basketball;Nintendo Game Boy Advance;;2004;;;;;;;;;;;;;;;;
Backyard Football (USA);Backyard Football;Nintendo Game Boy Advance;;2002;;;;;;;;;;;;;;;;
Backyard Sports - Football 2007 (USA);Backyard Football 2007;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;;;;;
Backyard Sports - Basketball 2007 (USA);Backyard Sports: Basketball 2007;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;;;;;
Bad News Baseball (USA);Bad News Baseball;Nintendo Entertainment System;;1990;;;;;;;;;;;;;;;;
Bandai Golf - Challenge Pebble Beach (USA);Bandai Golf: Challenge Pebble Beach;Nintendo Entertainment System;;1989;;;;;;;;;;;;;;;;
bangbead;Bang Bead;Arcade;;2000;;;;;;;;;;;;;;;;
Barkley Shut Up and Jam! (USA, Europe);Barkley Shut Up and Jam!;Sega Genesis;;1993;;;;;;;;;;;;;;;;
Barkley Shut Up and Jam! (USA);Barkley Shut Up and Jam!;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;;;;;
Barkley Shut Up and Jam! 2 (USA);Barkley Shut Up and Jam! 2;Sega Genesis;;1995;;;;;;;;;;;;;;;;
pc_bball;Baseball;Arcade;;1984;;;;;;;;;;;;;;;;
Baseball (USA, Europe);Baseball;Nintendo Entertainment System;;1985;;;;;;;;;;;;;;;;
Baseball (World);Baseball;Nintendo Game Boy;;1989;;;;;;;;;;;;;;;;
Baseball Simulator 1.000 (USA);Baseball Simulator 1.000;Nintendo Entertainment System;;1990;;;;;;;;;;;;;;;;
Baseball Stars (USA);Baseball Stars;Nintendo Entertainment System;;1989;;;;;;;;;;;;;;;;
bstars2;Baseball Stars 2;Arcade;;1992;;;;;;;;;;;;;;;;
pc_bstar;Baseball Stars Be a Champ!;Arcade;;1989;;;;;;;;;;;;;;;;
Baseball Stars II (USA);Baseball Stars II;Nintendo Entertainment System;;1992;;;;;;;;;;;;;;;;
bstars;Baseball Stars Professional;Arcade;;1990;;;;;;;;;;;;;;;;
basebal2;Baseball The Season II;Arcade;;1987;;;;;;;;;;;;;;;;
pc_bload;Bases Loaded;Arcade;;1990;;;;;;;;;;;;;;;;
Baseball (USA, Europe);Bases Loaded;Nintendo Entertainment System;;1988;;;;;;;;;;;;;;;;
Bases Loaded GB (USA);Bases Loaded;Nintendo Game Boy;;1990;;;;;;;;;;;;;;;;
Bases Loaded '96 - Double Header;Bases Loaded '96: Double Header;Sony Playstation;;1996;;;;;;;;;;;;;;;;
Bases Loaded 3 (USA);Bases Loaded 3;Nintendo Entertainment System;;1991;;;;;;;;;;;;;;;;
Bases Loaded 4 (USA);Bases Loaded 4;Nintendo Entertainment System;;1993;;;;;;;;;;;;;;;;
Bases Loaded II - Second Season (USA);Bases Loaded II: Second Season;Nintendo Entertainment System;;1990;;;;;;;;;;;;;;;;
bsktball;Basketball;Arcade;;1979;;;;;;;;;;;;;;;;
Basket Ball Nightmare (UE) [!];Basketball Nightmare;Sega Master System;;1989;;;;;;;;;;;;;;;;
bassangl;Bass Angler;Arcade;fbaitbc;1998;;;;;;;;;;;;;;;;
bassang2;Bass Angler 2;Arcade;fbait2bc;1998;;;;;;;;;;;;;;;;
Bass Masters Classic (USA, Europe);Bass Masters Classic;Nintendo Game Boy Color;;1999;;;;;;;;;;;;;;;;
Bass Masters Classic (USA);Bass Masters Classic;Sega Genesis;;1996;;;;;;;;;;;;;;;;
BASS Masters Classic (USA);BASS Masters Classic;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;;;;;
Bass Masters Classic - Pro Edition (USA);Bass Masters Classic: Pro Edition;Sega Genesis;;1995;;;;;;;;;;;;;;;;
BASS Masters Classic - Pro Edition (USA);BASS Masters Classic: Pro Edition;Super Nintendo Entertainment System;;1996;;;;;;;;;;;;;;;;
Bassin's Black Bass (USA);Bassin's Black Bass;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;;;;;
Bassmasters 2000 (USA);Bassmasters 2000;Nintendo 64;;1999;;;;;;;;;;;;;;;;
Batter Up (USA, Europe);Batter Up;Sega Game Gear;;1991;;;;;;;;;;;;;;;;
flipshot;Battle Flip Shot;Arcade;;1998;;;;;;;;;;;;;;;;
BattleSport;BattleSport;Sony Playstation;;1997;;;;;;;;;;;;;;;;
wbbc97;Beach Festival World Championship 1997;Arcade;;1997;;;;;;;;;;;;;;;;
Beetle Adventure Racing! (USA) (En,Fr,De);Beetle Adventure Racing!;Nintendo 64;;1999;;;;;;;;;;;;;;;;
3D Baseball;Beisbol 3D;Sony Playstation;;1998;;;;;;;;;;;;;;;;
bbbxing;Best Bout Boxing;Arcade;;1994;;;;;;;;;;;;;;;;
bestleag;Best League;Arcade;bigstrik;1993;;;;;;;;;;;;;;;;
Best of the Best - Championship Karate (USA);Best of the Best: Championship Karate;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;;;;;
Big Air;Big Air;Sony Playstation;;1999;;;;;;;;;;;;;;;;
bigevglf;Big Event Golf;Arcade;;1986;;;;;;;;;;;;;;;;
Big League Slugger Baseball;Big League Slugger Baseball;Sony Playstation;;2000;;;;;;;;;;;;;;;;
Big Mountain 2000 (USA);Big Mountain 2000;Nintendo 64;;2000;;;;;;;;;;;;;;;;
Big Strike Bowling;Big Strike Bowling;Sony Playstation;;2003;;;;;;;;;;;;;;;;
bigstrik;Big Striker;Arcade;;1992;;;;;;;;;;;;;;;;
Bill Laimbeer's Combat Basketball (USA);Bill Laimbeer's Combat Basketball;Super Nintendo Entertainment System;;1991;;;;;;;;;;;;;;;;
Bill Walsh College Football (USA, Europe);Bill Walsh College Football;Sega Genesis;;1993;;;;;;;;;;;;;;;;
Bill Walsh College Football (USA);Bill Walsh College Football;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;;;;;
Bill Walsh College Football 95 (USA);Bill Walsh College Football 95;Sega Genesis;;1994;;;;;;;;;;;;;;;;
bilyard;Billiard;Arcade;;1988;;;;;;;;;;;;;;;;
realbrk;Billiard Academy Real Break;Arcade;;1998;;;;;;;;;;;;;;;;
Billiards;Billiards;Sony Playstation;;1998;;;;;;;;;;;;;;;;
Billy Bob's Huntin' 'n' Fishin' (USA, Europe);Billy Bob's Huntin' 'n' Fishin';Nintendo Game Boy Color;;1999;;;;;;;;;;;;;;;;
bking;Birdie King;Arcade;;1982;;;;;;;;;;;;;;;;
bking2;Birdie King 2;Arcade;;1983;;;;;;;;;;;;;;;;
bking3;Birdie King 3;Arcade;;1984;;;;;;;;;;;;;;;;
birdtry;Birdie Try;Arcade;;1988;;;;;;;;;;;;;;;;
Black Bass, The - Lure Fishing (USA);Black Bass: Lure Fishing;Nintendo Game Boy;;1994;;;;;;;;;;;;;;;;
Black Bass - Lure Fishing (USA, Europe);Black Bass: Lure Fishing;Nintendo Game Boy Color;;1999;;;;;;;;;;;;;;;;
bladestl;Blades of Steel;Arcade;;1987;;;;;;;;;;;;;;;;
Blades of Steel (USA);Blades of Steel;Nintendo Entertainment System;;1988;;;;;;;;;;;;;;;;
Blades of Steel (USA);Blades of Steel;Nintendo Game Boy;;1991;;;;;;;;;;;;;;;;
Blast Lacrosse;Blast Lacrosse;Sony Playstation;;2001;;;;;;;;;;;;;;;;
ar_blast;Blastaball;Arcade;;1988;;;;;;;;;;;;;;;;
blzntrnd;Blazing Tornado;Arcade;;1994;;;;;;;;;;;;;;;;
BMX Trick Racer (USA);BMX Trick Racer;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;;;;;
Bo Jackson Baseball (USA);Bo Jackson Baseball;Nintendo Entertainment System;;1991;;;;;;;;;;;;;;;;
Bo Jackson 2 Games in 1 - Hit and Run! (USA);Bo Jackson: Two Games in One;Nintendo Game Boy;;1991;;;;;;;;;;;;;;;;
Boarder Zone (USA);Boarder Zone;Nintendo Game Boy Color;;1999;;;;;;;;;;;;;;;;
bodyslam;Body Slam;Arcade;;1986;;;;;;;;;;;;;;;;
bootcamp;Boot Camp;Arcade;combatsc;1987;;;;;;;;;;;;;;;;
Bottom of the 9th (USA);Bottom of the 9th;Nintendo 64;;1999;;;;;;;;;;;;;;;;
Bottom of the 9th '99;Bottom of the 9th '99;Sony Playstation;;1999;;;;;;;;;;;;;;;;
bottom9;Bottom of the Ninth;Arcade;;1989;;;;;;;;;;;;;;;;
bowlrama;Bowl-O-Rama;Arcade;;1991;;;;;;;;;;;;;;;;
Bowling;Bowling;Sony Playstation;;1995;;;;;;;;;;;;;;;;
Bowling 3D (USA);Bowling 3D;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
bowler;Bowling Alley;Arcade;;1978;;;;;;;;;;;;;;;;
boxer;Boxer;Arcade;;1978;;;;;;;;;;;;;;;;
Boxing Fever (USA, Europe);Boxing Fever;Nintendo Game Boy Advance;;2001;;;;;;;;;;;;;;;;
Boxing Legends of the Ring (USA);Boxing Legends of the Ring;Sega Genesis;;1993;;;;;;;;;;;;;;;;
Boxing Legends of the Ring (USA);Boxing Legends of the Ring;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;;;;;
Break Point;Break Point;Sony Playstation;;1998;;;;;;;;;;;;;;;;
Break Time - The National Pool Tour (USA);Break Time: The National Pool Tour;Nintendo Entertainment System;;1993;;;;;;;;;;;;;;;;
Brett Hull Hockey (USA);Brett Hull Hockey;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;;;;;
Brett Hull Hockey '95 (USA);Brett Hull Hockey '95;Sega Genesis;;1994;;;;;;;;;;;;;;;;
Brett Hull Hockey '95 (USA);Brett Hull Hockey '95;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;;;;;
Brian Lara Cricket (Europe) (June 1995);Brian Lara Cricket;Sega Genesis;;1995;;;;;;;;;;;;;;;;
Brian Lara Cricket 96 (Europe) (April 1996);Brian Lara Cricket 96;Sega Genesis;;1996;;;;;;;;;;;;;;;;
Brunswick Circuit Pro Bowling (USA);Brunswick Circuit Pro Bowling;Nintendo 64;;1999;;;;;;;;;;;;;;;;
Brunswick Circuit Pro Bowling;Brunswick Circuit Pro Bowling;Sony Playstation;;1998;;;;;;;;;;;;;;;;
Brunswick Circuit Pro Bowling II;Brunswick Circuit Pro Bowling II;Sony Playstation;;2000;;;;;;;;;;;;;;;;
Brunswick World Tournament of Champions (USA);Brunswick World Tournament of Champions;Super Nintendo Entertainment System;;1997;;;;;;;;;;;;;;;;
bullfgtr;Bull Fighter;Arcade;;1984;;;;;;;;;;;;;;;;
bullfgt;Bullfight;Arcade;;1984;;;;;;;;;;;;;;;;
bullsdrt;Bulls Eye Darts;Arcade;;1985;;;;;;;;;;;;;;;;
Bulls versus Blazers and the NBA Playoffs (USA, Europe);Bulls versus Blazers and the NBA Playoffs;Sega Genesis;;1993;;;;;;;;;;;;;;;;
Bulls vs Blazers and the NBA Playoffs (USA);Bulls vs Blazers and the NBA Playoffs;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;;;;;
Bulls Vs Lakers and the NBA Playoffs (USA, Europe);Bulls Vs Lakers and the NBA Playoffs;Sega Genesis;;1992;;;;;;;;;;;;;;;;
BursTrick - Wake Boarding!!;BursTrick: Wake Boarding!!;Sony Playstation;;1999;;;;;;;;;;;;;;;;
Cal Ripken Jr. Baseball (USA);Cal Ripken Jr. Baseball;Sega Genesis;;1992;;;;;;;;;;;;;;;;
Cal Ripken Jr. Baseball (USA);Cal Ripken Jr. Baseball;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;;;;;
mt_calga;California Games;Arcade;;1991;;;;;;;;;;;;;;;;
California Games (USA);California Games;Nintendo Entertainment System;;1989;;;;;;;;;;;;;;;;
California Games (USA, Europe);California Games;Sega Genesis;;1991;;;;;;;;;;;;;;;;
California Games (UE) [!];California Games;Sega Master System;;1989;;;;;;;;;;;;;;;;
California Games 2 (UE) [!];California Games II;Sega Master System;;1993;;;;;;;;;;;;;;;;
California Games II (USA);California Games II;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;;;;;
California Surfing;California Surfing;Sony Playstation;;2000;;;;;;;;;;;;;;;;
California Watersports;California Watersports;Sony Playstation;;2000;;;;;;;;;;;;;;;;
Cannondale Cup (USA);Cannondale Cup;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;;;;;
cbasebal;Capcom Baseball;Arcade;;1989;;;;;;;;;;;;;;;;
capbowl;Capcom Bowling;Arcade;;1988;;;;;;;;;;;;;;;;
csclubh;Capcom Sports Club;Arcade;csclub;1997;;;;;;;;;;;;;;;;
Gold Medal Challenge '92 (USA);Capcom's Gold Medal Challenge '92;Nintendo Entertainment System;;1992;;;;;;;;;;;;;;;;
Capcom's MVP Football (USA);Capcom's MVP Football;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;;;;;
Capcom's Soccer Shootout (USA);Capcom's Soccer Shootout;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;;;;;
carpolo;Car Polo;Arcade;;1977;;;;;;;;;;;;;;;;
carket;Carket Ball;Arcade;;1996;;;;;;;;;;;;;;;;
Carl Lewis Athletics 2000 (Europe) (En,Fr,De,Es,It,Nl);Carl Lewis Athletics 2000;Nintendo Game Boy Color;;2000;;;;;;;;;;;;;;;;
cencourt;Center Court;Arcade;passsht;1988;;;;;;;;;;;;;;;;
Centre Court Tennis (Europe);Centre Court Tennis;Nintendo 64;;1999;;;;;;;;;;;;;;;;
champbas;Champion Base Ball;Arcade;;1983;;;;;;;;;;;;;;;;
champbb2;Champion Base Ball Part-2 Pair Play;Arcade;;1983;;;;;;;;;;;;;;;;
chboxing;Champion Boxing;Arcade;;1984;;;;;;;;;;;;;;;;
chwrestl;Champion Pro Wrestling;Arcade;;1985;;;;;;;;;;;;;;;;
champwr;Champion Wrestler;Arcade;;1989;;;;;;;;;;;;;;;;
Champions of Europe (UE) [!];Champions of Europe;Sega Master System;;1988;;;;;;;;;;;;;;;;
Champions World Class Soccer (World) (En,Fr,De,Es);Champions World Class Soccer;Sega Genesis;;1993;;;;;;;;;;;;;;;;
Champions - World Class Soccer (USA);Champions: World Class Soccer;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;;;;;
champbwl;Championship Bowling;Arcade;;1989;;;;;;;;;;;;;;;;
Championship Bowling (USA);Championship Bowling;Nintendo Entertainment System;;1989;;;;;;;;;;;;;;;;
Championship Bowling (USA);Championship Bowling;Sega Genesis;;1993;;;;;;;;;;;;;;;;
Championship Hockey (UE) [!];Championship Hockey;Sega Master System;;1992;;;;;;;;;;;;;;;;
Championship Manager 2010 Express (Europe);Championship Manager 2010 Express;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Championship Pool (USA);Championship Pool;Nintendo Entertainment System;;1993;;;;;;;;;;;;;;;;
Championship Pool (USA);Championship Pool;Nintendo Game Boy;;1993;;;;;;;;;;;;;;;;
Championship Pool (USA);Championship Pool;Sega Genesis;;1993;;;;;;;;;;;;;;;;
Championship Pool (USA);Championship Pool;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;;;;;
Championship Soccer '94 (USA);Championship Soccer '94;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;;;;;
Championship Surfer;Championship Surfer;Sega Dreamcast;;2000;;;;;;;;;;;;;;;;
Championship Surfer;Championship Surfer;Sony Playstation;;2000;;;;;;;;;;;;;;;;
chkun;Chance Kun;Arcade;;1988;;;;;;;;;;;;;;;;
Chavez (USA);Chavez;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;;;;;
Chavez II (USA);Chavez II;Sega Genesis;;1993;;;;;;;;;;;;;;;;
Chavez II (USA);Chavez II;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;;;;;
Chi Chi's Pro Challenge Golf (USA);Chi Chi's Pro Challenge Golf;Sega Genesis;;1993;;;;;;;;;;;;;;;;
Chill;Chill;Sony Playstation;;1998;;;;;;;;;;;;;;;;
Chris Kamara's Street Soccer;Chris Kamara's Street Soccer;Sony Playstation;;2000;;;;;;;;;;;;;;;;
cltchitr;Clutch Hitter;Arcade;;1991;;;;;;;;;;;;;;;;
Clutch Hitter (USA, Europe);Clutch Hitter;Sega Game Gear;;1991;;;;;;;;;;;;;;;;
Coach K College Basketball (USA);Coach K College Basketball;Sega Genesis;;1995;;;;;;;;;;;;;;;;
College Football USA '97 - The Road to New Orleans (USA);College Football USA '97: The Road to New Orleans;Super Nintendo Entertainment System;;1996;;;;;;;;;;;;;;;;
College Football USA 96 (USA);College Football USA 96;Sega Genesis;;1995;;;;;;;;;;;;;;;;
College Football USA 97 (USA);College Football USA 97;Sega Genesis;;1996;;;;;;;;;;;;;;;;
College Football's National Championship (USA);College Football's National Championship;Sega Genesis;;1994;;;;;;;;;;;;;;;;
College Football's National Championship II (USA);College Football's National Championship II;Sega Genesis;;1995;;;;;;;;;;;;;;;;
College Slam (USA);College Slam;Nintendo Game Boy;;1996;;;;;;;;;;;;;;;;
College Slam (USA);College Slam;Sega Genesis;;1996;;;;;;;;;;;;;;;;
College Slam;College Slam;Sony Playstation;;1996;;;;;;;;;;;;;;;;
College Slam (USA);College Slam;Super Nintendo Entertainment System;;1996;;;;;;;;;;;;;;;;
combatsc;Combat School;Arcade;;1988;;;;;;;;;;;;;;;;
compgolf;Competition Golf Final Round;Arcade;;1986;;;;;;;;;;;;;;;;
Cool Boarders;Cool Boarders;Sony Playstation;;1996;;;;;;;;;;;;;;;;
Cool Boarders 2;Cool Boarders 2;Sony Playstation;;1997;;;;;;;;;;;;;;;;
