#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Ben 10 Ultimate Alien Cosmic Destruction;Ben 10 Ultimate Alien Cosmic Destruction;Sony PSP;;2010;;;;;;;;;;;;
Ben 10 - Alien Force (USA);Ben 10: Alien Force;Sony PSP;;2008;;;;;;;;;;;;
Ben 10 - Protector of Earth;Ben 10: Protector of Earth;Sony PSP;;2007;;;;;;;;;;;;
Beowulf;Beowulf;Sony PSP;;2007;;;;;;;;;;;;
Beyond the Beyond;Beyond the Beyond;Sony Playstation;;1996;;;;;;;;;;;;
Big Nose the Caveman (USA) (Unl);Big Nose the Caveman;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Bionicle Heroes (USA) (En,Fr,De,Es,It,Da);Bionicle Heroes;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;
Bionicle - The Game;Bionicle: The Game;Nintendo Gamecube;;2003;;;;;;;;;;;;
Blade (USA, Europe);Blade;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Blade;Blade;Sony Playstation;;2000;;;;;;;;;;;;
Blaster Master Boy (USA);Blaster Master Boy;Nintendo Game Boy;;1991;;;;;;;;;;;;
Blazing Dragons;Blazing Dragons;Sony Playstation;;1996;;;;;;;;;;;;
Blood Omen - Legacy of Kain;Blood Omen: Legacy of Kain;Sony Playstation;;1996;;;;;;;;;;;;
Blue Stinger;Blue Stinger;Sega Dreamcast;;1999;;;;;;;;;;;;
Bomberman Generation;Bomberman Generation;Nintendo Gamecube;;2002;;;;;;;;;;;;
Boogerman - A Pick and Flick Adventure (USA);Boogerman: A Pick and Flick Adventure;Sega Genesis;;1994;;;;;;;;;;;;
Brahma Force;Brahma Force;Sony Playstation;;1996;;;;;;;;;;;;
Brain Lord (USA);Brain Lord;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Brandish (USA);Brandish;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Broken Sword II - The Smoking Mirror;Broken Sword II: The Smoking Mirror;Sony Playstation;;1997;;;;;;;;;;;;
Broken Sword - The Shadow of the Templars;Broken Sword: The Shadow of the Templars;Sony Playstation;;1996;;;;;;;;;;;;
Brother Bear (USA);Brother Bear;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;
Bubsy 3D - Furbitten Planet;Bubsy 3D: Planeta Perturbado;Sony Playstation;;1996;;;;;;;;;;;;
Buck Rogers - Countdown to Doomsday (USA, Europe);Buck Rogers: Countdown to Doomsday;Sega Genesis;;1991;;;;;;;;;;;;
bucky;Bucky O'Hare;Arcade;;1992;;;;;;;;;;;;
Bugs Bunny - Lost in Time;Bugs Bunny: Lost in Time;Sony Playstation;;1999;;;;;;;;;;;;
Buzz Lightyear of Star Command (USA, Europe);Buzz Lightyear of Star Command;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Buzz Lightyear of Star Command;Buzz Lightyear of Star Command;Sega Dreamcast;;2000;;;;;;;;;;;;
Carmen Sandiego - The Secret of the Stolen Drums;Carmen Sandiego: The Secret of the Stolen Drums;Nintendo Gamecube;;2004;;;;;;;;;;;;
Carrier;Carrier;Sega Dreamcast;;2000;;;;;;;;;;;;
Casper (USA);Casper;Nintendo Game Boy;;1996;;;;;;;;;;;;
Casper (USA);Casper;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Casper;Casper;Sony Playstation;;1996;;;;;;;;;;;;
Casper - Friends Around the World;Casper: Friends Around the World;Sony Playstation;;2000;;;;;;;;;;;;
Castle of Deceit (USA) (Unl);Castle of Deceit;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Castle of Dragon (USA);Castle of Dragon;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Castlevania (USA) (Rev B);Castlevania;Nintendo 64;;1998;;;;;;;;;;;;
Castlevania Chronicles (USA);Castlevania Chronicles;Sony Playstation;;2001;;;;;;;;;;;;
Castlevania II - Belmont's Revenge (USA, Europe);Castlevania II: Belmont's Revenge;Nintendo Game Boy;;1991;;;;;;;;;;;;
Castlevania II - Simon's Quest (USA);Castlevania II: Simon's Quest;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Castlevania III - Dracula's Curse (USA);Castlevania III: Dracula's Curse;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Castlevania Chronicles (USA);Castlevania The Dracula X Chronicles;Sony PSP;;2007;;;;;;;;;;;;
Castlevania - Aria of Sorrow (USA);Castlevania: Aria of Sorrow;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;
Castlevania - Bloodlines (USA);Castlevania: Bloodlines;Sega Genesis;;1994;;;;;;;;;;;;
Castlevania - The New Generation (Euro);Castlevania: The New Generation;Sega Genesis;;1994;;;;;;;;;;;;
Centurion - Defender of Rome (USA, Europe);Centurion: Defender of Rome;Sega Genesis;;1991;;;;;;;;;;;;
Chameleon Twist (USA);Chameleon Twist;Nintendo 64;;1997;;;;;;;;;;;;
Chibi-Robo!;Chibi-Robo!;Nintendo Gamecube;;2005;;;;;;;;;;;;
Chiki Chiki Boys (USA, Europe);Chiki Chiki Boys;Sega Genesis;;1993;;;;;;;;;;;;
Chronicles of the Sword - Disk 1;Chronicles of the Sword - Disc 1;Sony Playstation;;1996;;;;;;;;;;;;
Chronicles of the Sword - Disk 2;Chronicles of the Sword - Disc 2;Sony Playstation;;1996;;;;;;;;;;;;
Clash at Demonhead (USA);Clash at Demonhead;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Clock Tower for WonderSwan (Japan);Clock Tower for WonderSwan;Wonderswan;;1999;;;;;;;;;;;;
Clock Tower II - The Struggle Within;Clock Tower II: The Struggle Within;Sony Playstation;;1998;;;;;;;;;;;;
Clock Tower;Clock Tower: Traducido;Sony Playstation;;1996;;;;;;;;;;;;
Commander Keen (USA, Europe);Commander Keen;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
Congo's Caper (USA);Congo's Caper;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Conker's Pocket Tales (USA, Europe) (En,Fr,De);Conker's Pocket Tales;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Cosmic Spacehead (Europe);Cosmic Spacehead;Sega Game Gear;;1996;;;;;;;;;;;;
Cosmic Spacehead (USA, Europe) (En,Fr,De,Es);Cosmic Spacehead;Sega Genesis;;1993;;;;;;;;;;;;
Cosmic Spacehead (E) [!];Cosmic Spacehead;Sega Master System;;1993;;;;;;;;;;;;
Crash Bash;Crash Bash;Sony Playstation;;2000;;;;;;;;;;;;
Crash Lucha de Titanes;Crash Lucha de Titanes;Sony PSP;;2007;;;;;;;;;;;;
Crash Mind Over Mutants;Crash Mind Over Mutants;Sony PSP;;2008;;;;;;;;;;;;
Crash of the Titans (Europe) (En,Fr,De,Es,It,Nl);Crash of the Titans;Nintendo Game Boy Advance;;2007;;;;;;;;;;;;
Crouching Tiger, Hidden Dragon (USA) (En,Fr,Es);Crouching Tiger, Hidden Dragon;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;
Crystal's Pony Tale (USA);Crystal's Pony Tale;Sega Genesis;;1994;;;;;;;;;;;;
Cubivore;Cubivore: Survival of the Fittest;Nintendo Gamecube;;2002;;;;;;;;;;;;
Curious George (USA);Curious George;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;
Curious George;Curious George;Nintendo Gamecube;;2006;;;;;;;;;;;;
CutThroat Island (USA, Europe);CutThroat Island;Nintendo Game Boy;;1995;;;;;;;;;;;;
Cutthroat Island (USA, Europe);Cutthroat Island;Sega Game Gear;;1995;;;;;;;;;;;;
CutThroat Island (USA, Europe);CutThroat Island;Sega Genesis;;1995;;;;;;;;;;;;
D - Disk 1;D - Disc 1;Sony Playstation;;1995;;;;;;;;;;;;
D - Disk 2;D - Disc 2;Sony Playstation;;1995;;;;;;;;;;;;
D - Disk 3;D - Disc 3;Sony Playstation;;1995;;;;;;;;;;;;
D2 (Disc 1 of 4);D2 - Disc 1;Sega Dreamcast;;1999;;;;;;;;;;;;
D2 (Disc 2 of 4);D2 - Disc 2;Sega Dreamcast;;1999;;;;;;;;;;;;
D2 (Disc 3 of 4);D2 - Disc 3;Sega Dreamcast;;1999;;;;;;;;;;;;
D2 (Disc 4 of 4);D2 - Disc 4;Sega Dreamcast;;1999;;;;;;;;;;;;
Deadly Towers (USA);Deadly Towers;Nintendo Entertainment System;;1986;;;;;;;;;;;;
Death Jr.;Death Jr.;Sony PSP;;2005;;;;;;;;;;;;
Death Jr. II - Root of Evil;Death Jr. II: Root of Evil;Sony PSP;;2006;;;;;;;;;;;;
Deception III - Dark Delusion;Deception III: Dark Delusion;Sony Playstation;;1999;;;;;;;;;;;;
Defenders of Oasis (USA, Europe);Defenders of Oasis;Sega Game Gear;;1992;;;;;;;;;;;;
Deja Vu (USA);Deja Vu;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Deja Vu I & II - The Casebooks of Ace Harding (USA);Deja Vu I & II: The Casebooks of Ace Harding;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Demon's Crest (USA);Demon's Crest;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Destiny of an Emperor (USA);Destiny of an Emperor;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Dexter's Laboratory - Deesaster Strikes! (USA) (En,Fr,De,Es,It);Dexter's Laboratory: Deesaster Strikes!;Nintendo Game Boy Advance;;2001;;;;;;;;;;;;
Diabolik - The Original Sin;Diabolik: The Original Sin;Sony PSP;;2009;;;;;;;;;;;;
Digimon World;Digimon World;Sony Playstation;;1999;;;;;;;;;;;;
Dirty Harry (USA);Dirty Harry;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Discworld II - Missing Presumed;Discworld II: Missing Presumed...!;Sony Playstation;;1996;;;;;;;;;;;;
Disney El planeta del tesoro;Disney El planeta del tesoro;Sony Playstation;;2002;;;;;;;;;;;;
Disney Tarzan;Disney Tarzan;Sony Playstation;;1999;;;;;;;;;;;;
Disney Tigger tras un Bote de Miel;Disney Tigger tras un Bote de Miel;Sony Playstation;;2000;;;;;;;;;;;;
Disney Chicken Little;Disney's Chicken Little;Nintendo Gamecube;;2005;;;;;;;;;;;;
Disneys Hide Sneak;Disney's Hide & Sneak;Nintendo Gamecube;;2003;;;;;;;;;;;;
Disneys Magical Mirror Starring Mickey Mouse;Disney's Magical Mirror Starring Mickey Mouse;Nintendo Gamecube;;2002;;;;;;;;;;;;
Disneys Piglets Big Game;Disney's Piglet's Big Game;Nintendo Gamecube;;2003;;;;;;;;;;;;
Disney's Winnie The Pooh's Rumbly Tumbly Adventure;Disney's Winnie The Pooh's Rumbly Tumbly Adventure;Nintendo Gamecube;;2005;;;;;;;;;;;;
Dora the Explorer - Barnyard Buddies;Dora the Explorer: Barnyard Buddies;Sony Playstation;;2002;;;;;;;;;;;;
Double Switch (USA);Double Switch;Mega CD;;1993;;;;;;;;;;;;
Dr. Chaos (USA);Dr. Chaos;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Dr. Franken (USA);Dr. Franken;Nintendo Game Boy;;1992;;;;;;;;;;;;
Dracula Unleashed (USA) (Disc 1);Dracula Unleashed - Disc 1;Mega CD;;1993;;;;;;;;;;;;
