#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Bravely_Second-End_Layer_EUR_MULTI5_3DS-LiGHTFORCE Decrypted;Bravely_Second-End_Layer_EUR_MULTI5_3DS-LiGHTFORCE Decrypted;Nintendo 3DS;;;;;;;;;;;;;;;;;;
Bust-A-Move Universe (USA) (En,Fr,Es) Decrypted;Bust-A-Move Universe (USA) (En,Fr,Es) Decrypted;Nintendo 3DS;;;;;;;;;;;;Bust-A-Move Universe;;;;;;
Captain Toad - Treasure Tracker;Captain Toad - Treasure Tracker;Nintendo 3DS;;;;;;;;;;;;;;;;;;
Cartoon Network - Battle Crashers;Cartoon Network - Battle Crashers;Nintendo 3DS;;;;;;;;;;;;;;;;;;
Cartoon Network Punch Time Explosion;Cartoon Network Punch Time Explosion;Nintendo 3DS;;;;;;;;;;;;;;;;;;
Cave Story (USA) (eShop) Decrypted;Cave Story (USA) (eShop) Decrypted;Nintendo 3DS;;;;;1;;;;;;;Cave Story;;;;;;
Cave Story 3D (Europe) Decrypted;Cave Story 3D (Europe) Decrypted;Nintendo 3DS;;;;;1;;;;;;;Cave Story 3D;;;;;;
Centipede Infestation;Centipede Infestation;Nintendo 3DS;;;;;;;;;;;;;;;;;;
Chain Blaster;Chain Blaster;Nintendo 3DS;;;;;;;;;;;;;;;;;;
Chibi-Robo! Zip Lash (Europe) (En,Fr,De,Es,It) Decrypted;Chibi-Robo! Zip Lash (Europe) (En,Fr,De,Es,It) Decrypted;Nintendo 3DS;;;;;1;;;;;;;Chibi-Robo! Zip Lash;;;;;;
Code of Princess (USA) Decrypted;Code of Princess (USA) Decrypted;Nintendo 3DS;;;;;;;;;;;;Code of Princess;;;;;;
Code Name S.T.E.A.M;Code Name S.T.E.A.M;Nintendo 3DS;;;;;;;;;;;;;;;;;;
Conception II - Children of the Seven Stars (USA) Decrypted;Conception II - Children of the Seven Stars (USA) Decrypted;Nintendo 3DS;;;;;1;;;;;;;Conception II: Children of the Seven Stars;;;;;;
Crash City Mayhem;Crash City Mayhem;Nintendo 3DS;;;;;;;;;;;;;;;;;;
Crashmo (USA) (eShop) Decrypted;Crashmo (USA) (eShop) Decrypted;Nintendo 3DS;;;;;1;;;;;;;Crashmo;;;;;;
Creeping Terror;Creeping Terror;Nintendo 3DS;;;;;;;;;;;;;;;;;;
