#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Bandit Kings of Ancient China (USA);Bandit Kings of Ancient China;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Barbie (USA) (Rev A);Barbie;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Barker Bill's Trick Shooting (USA);Barker Bill's Trick Shooting;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Base Wars - Cyber Stadium Series (USA);Base Wars: Cyber Stadium Series;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Baseball (USA, Europe);Baseball;Nintendo Entertainment System;;1983;;;;;;;;;;;;
Baseball Simulator 1.000 (USA);Baseball Simulator 1.000;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Baseball Stars (USA);Baseball Stars;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Baseball Stars II (USA);Baseball Stars II;Nintendo Entertainment System;;1992;;;;;;;;;;;;
Bases Loaded (USA) (Rev B);Bases Loaded;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Bases Loaded 3 (USA);Bases Loaded 3;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Bases Loaded 4 (USA);Bases Loaded 4;Nintendo Entertainment System;;1993;;;;;;;;;;;;
Bases Loaded II - Second Season (USA);Bases Loaded II: Second Season;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Bashi Bazook - Morphoid Masher (U) (Prototype);Bashi Bazook: Morphoid Masher;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Batman Returns (USA);Batman Returns;Nintendo Entertainment System;;1993;;;;;;;;;;;;
Batman - Return of the Joker (USA);Batman: Return of the Joker;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Batman - The Video Game (USA);Batman: The Video Game;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Battle Chess (USA);Battle Chess;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Battleship (USA);Battleship;Nintendo Entertainment System;;1993;;;;;;;;;;;;
Battletank (USA);Battletank;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Battletoads (USA);Battletoads;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Battletoads & Double Dragon - The Ultimate Team (USA);Battletoads & Double Dragon: The Ultimate Team;Nintendo Entertainment System;;1993;;;;;;;;;;;;
Beauty and the Beast (Europe);Beauty and the Beast;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Bee 52 (USA) (Unl);Bee 52;Nintendo Entertainment System;;1992;;;;;;;;;;;;
Beetlejuice (USA);Beetlejuice;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Best of the Best - Championship Karate (USA);Best of the Best: Championship Karate;Nintendo Entertainment System;;1992;;;;;;;;;;;;
Bible Adventures (USA) (Unl) (v1.4);Bible Adventures;Nintendo Entertainment System;;1992;;;;;;;;;;;;
