#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Ben 10 - Galactic Racing (EU);Ben 10 - Galactic Racing (EU);Nintendo Wii;;;;;;;;;;;;Ben 10: Galactic Racing;;;;;;
Ben 10 - Omniverse (EU);Ben 10 - Omniverse (EU);Nintendo Wii;;;;;;;;;;;;Ben 10: Omniverse;;;;;;
Ben 10 - Omniverse 2 (EU);Ben 10 - Omniverse 2 (EU);Nintendo Wii;;;;;;;;;;;;Ben 10 Omniverse 2;;;;;;
Ben 10 - Protector of Earth (EU);Ben 10 - Protector of Earth (EU);Nintendo Wii;;;;;;;;;;;;Ben 10: Protector of Earth;;;;;;
Ben 10 - Ultimate Alien Cosmic Destruction (EU);Ben 10 - Ultimate Alien Cosmic Destruction (EU);Nintendo Wii;;;;;1;;;;;;;Ben 10 Ultimate Alien: Cosmic Destruction;;;;;;
Bermuda Triangle (EU);Bermuda Triangle (EU);Nintendo Wii;;;;;1;;;;;;;Bermuda Triangle;;;;;;
Bibi Blocksberg (EU);Bibi Blocksberg (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Bibi und Tina Das grosse Reiterfest (EU);Bibi und Tina Das grosse Reiterfest (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Big Beach Sports (EU);Big Beach Sports (EU);Nintendo Wii;;;;;4;;;;;;;Big Beach Sports;;;;;;
Big Beach Sports 2 (EU);Big Beach Sports 2 (EU);Nintendo Wii;;;;;;;;;;;;Big Beach Sports 2;;;;;;
Big Family Games (EU);Big Family Games (EU);Nintendo Wii;;;;;1;;;;;;;Big Family Games;;;;;;
Bigfoot - Collision Course (EU);Bigfoot - Collision Course (EU);Nintendo Wii;;;;;1;;;;;;;Bigfoot: Collision Course;;;;;;
The Bigs (EU);The Bigs (EU);Nintendo Wii;;;;;;;;;;;;The Bigs;;;;;;
The Bigs 2 - Baseball (EU);The Bigs 2 - Baseball (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Billy the Wizard - Rocket Broomstick Racing (EU);Billy the Wizard - Rocket Broomstick Racing (EU);Nintendo Wii;;;;;4;;;;;;;Billy the Wizard: Rocket Broomstick Racing;;;;;;
Bionicle Heroes (EU);Bionicle Heroes (EU);Nintendo Wii;;;;;1;;;;;;;Bionicle Heroes;;;;;;
Bit Trip - Complete (EU);Bit Trip - Complete (EU);Nintendo Wii;;;;;1;;;;;;;Bit.Trip Complete;;;;;;
Blast Works - Build - Trade - Destroy (EU);Blast Works - Build - Trade - Destroy (EU);Nintendo Wii;;;;;4;;;;;;;Blast Works: Build, Trade, Destroy;;;;;;
Blazing Angels - Squadrons of WWII (EU);Blazing Angels - Squadrons of WWII (EU);Nintendo Wii;;;;;2;;;;;;;Blazing Angels: Squadrons of WWII;;;;;;
Bleach - Shattered Blade (EU);Bleach - Shattered Blade (EU);Nintendo Wii;;;;;2;;;;;;;Bleach: Shattered Blade;;;;;;
Block Party! 20 Games (EU);Block Party! 20 Games (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Bolt (EU);Bolt (EU);Nintendo Wii;;;;;2;;;;;;;Bolt;;;;;;
Bomberman Land Wii (EU);Bomberman Land Wii (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Boom Blox (EU);Boom Blox (EU);Nintendo Wii;;;;;1;;;;;;;Boom Blox;;;;;;
Boom Blox - Bash Party (EU);Boom Blox - Bash Party (EU);Nintendo Wii;;;;;4;;;;;;;Boom Blox Bash Party;;;;;;
Boom Street (EU);Boom Street (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Boot Camp Academy (EU);Boot Camp Academy (EU);Nintendo Wii;;;;;4;;;;;;;Boot Camp Academy;;;;;;
Brave - A Warriors Tale (EU);Brave - A Warriors Tale (EU);Nintendo Wii;;;;;1;;;;;;;Brave: A Warrior's Tale;;;;;;
Brave - The Video Game (EU);Brave - The Video Game (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Broken Sword - Shadow of the Templars - The Directors Cut (EU);Broken Sword - Shadow of the Templars - The Directors Cut (EU);Nintendo Wii;;;;;2;;;;;;;Broken Sword: Shadow of the Templars - The Director's Cut;;;;;;
Brunswick Pro Bowling (EU);Brunswick Pro Bowling (EU);Nintendo Wii;;;;;4;;;;;;;Brunswick Pro Bowling;;;;;;
Bully - Scholarship Edition (EU);Bully - Scholarship Edition (EU);Nintendo Wii;;;;;1;;;;;;;Bully: Scholarship Edition;;;;;;
Bust-A-Move (EU);Bust-A-Move (EU);Nintendo Wii;;;;;2;;;;;;;Bust-a-Move;;;;;;
CID - The Dummy (EU);CID - The Dummy (EU);Nintendo Wii;;;;;1;;;;;;;CID The Dummy;;;;;;
CSI - Deadly Intent (EU);CSI - Deadly Intent (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
CSI - Fatal Conspiracy (EU);CSI - Fatal Conspiracy (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
CSI - Hard Evidence (EU);CSI - Hard Evidence (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Calling (EU);Calling (EU);Nintendo Wii;;;;;;;;;;;;Calling;;;;;;
Calvin Tuckers - Farm Animals Racing Tournament (EU);Calvin Tuckers - Farm Animals Racing Tournament (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Captain America - Super Soldier (EU);Captain America - Super Soldier (EU);Nintendo Wii;;;;;2;;;;;;;Captain America: Super Soldier;;;;;;
Captain Morgane and the Golden Turtle (EU);Captain Morgane and the Golden Turtle (EU);Nintendo Wii;;;;;;;;;;;;Captain Morgane and the Golden Turtle;;;;;;
Cars - Mater-National (EU);Cars - Mater-National (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Cars 2 (EU);Cars 2 (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Cars Race-O-Rama (EU);Cars Race-O-Rama (EU);Nintendo Wii;;;;;2;;;;;;;Cars: Race-O-Rama;;;;;;
Cars Toon - Maters Tall Tales (EU);Cars Toon - Maters Tall Tales (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Cartoon Network - Punch Time Explosion XL (EU);Cartoon Network - Punch Time Explosion XL (EU);Nintendo Wii;;;;;;;;;;;;Cartoon Network: Punch Time Explosion XL;;;;;;
Case Closed - The Mirapolis Investigation (EU);Case Closed - The Mirapolis Investigation (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
