#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
crimfght;Crime Fighters;Final Burn Alpha;;1989;;;;;;;;;;;;
Crisis Beat;Crisis Beat;Sony Playstation;;1998;;;;;;;;;;;;
Cross Wiber - Cyber Combat Police (Japan);Cross Wiber: Cyber Combat Police;NEC PC Engine;;1989;;;;;;;;;;;;
crsword;Crossed Swords;Final Burn Alpha;;1991;;;;;;;;;;;;
Cutthroat Island (USA);Cutthroat Island;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Cyborg Justice (USA, Europe);Cyborg Justice;Sega Genesis;;1993;;;;;;;;;;;;
ddcrew;D.D. Crew;Final Burn Alpha;;1991;;;;;;;;;;;;
Darkman_v1.0_1564;Darkman;Commodore Amiga;;1991;;;;;;;;;;;;
Defenders of Dynatron City (USA);Defenders of Dynatron City;Nintendo Entertainment System;;1992;;;;;;;;;;;;
demofist;Demolish Fist;Sammy Atomiswave;;2003;;;;;;;;;;;;
denjinmk;Denjin Makai;Arcade;;1994;;;;;;;;;;;;
diehard;Die Hard Arcade;Arcade;;1996;;;;;;;;;;;;
djboy;DJ Boy;Final Burn Alpha;;1989;;;;;;;;;;;;
DJ Boy (USA);DJ Boy;Sega Genesis;;1990;;;;;;;;;;;;
DoubleDragon_v1.0_0320;Double Dragon;Commodore Amiga;;1988;;;;;;;;;;;;
ddragon;Double Dragon;Final Burn Alpha;;1987;;;;;;;;;;;;
Double Dragon (USA);Double Dragon;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Double Dragon (USA, Europe);Double Dragon;Sega Genesis;;1988;;;;;;;;;;;;
DoubleDragon2_v1.3_0768;Double Dragon 2;Commodore Amiga;;1989;;;;;;;;;;;;
DoubleDragon3_v1.2_0321;Double Dragon 3;Commodore Amiga;;1990;;;;;;;;;;;;
Double Dragon 3 - The Arcade Game (USA, Europe);Double Dragon 3: The Arcade Game;Sega Genesis;;1993;;;;;;;;;;;;
ddragon3;Double Dragon 3: The Rosetta Stone;Final Burn Alpha;;1990;;;;;;;;;;;;
ddragon2;Double Dragon II: The Revenge;Final Burn Alpha;;1988;;;;;;;;;;;;
Double Dragon II - The Revenge (USA) (Rev A);Double Dragon II: The Revenge;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Double Dragon II - The Revenge (Japan);Double Dragon II: The Revenge;Sega Genesis;;1991;;;;;;;;;;;;
Double Dragon III - The Sacred Stones (USA);Double Dragon III: The Sacred Stones;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Double Dragon IV;Double Dragon IV;PC Games;;2017;;;;;;;;;;;;
DoubleDragon;Double Dragon NEON;PC Games;;2014;;;;;;;;;;;;
downtown;DownTown;Final Burn Alpha;;1989;;;;;;;;;;;;
drgnbowl;Dragon Bowl;Final Burn Alpha;;1992;;;;;;;;;;;;
drgnunit;Dragon Unit;Final Burn Alpha;;1989;;;;;;;;;;;;
dungeonm;Dungeon Magic / Light Bringer;Final Burn Alpha;;1994;;;;;;;;;;;;
ddsom;Dungeons & Dragons: Shadow over Mystara;Final Burn Alpha;;1996;;;;;;;;;;;;
ddtod;Dungeons & Dragons: Tower of Doom;Final Burn Alpha;;1994;;;;;;;;;;;;
Dynamite Cop;Dynamite Cop;Sega Dreamcast;;1999;;;;;;;;;;;;
dynamcop;Dynamite Cop;Sega Model 2;;1999;;;;;;;;;;;;
Dynamite Deka;Dynamite Deka;Sony Playstation 2;;2006;;;;;;;;;;;;
ddux;Dynamite Düx;Final Burn Alpha;;1988;;;;;;;;;;;;
dynwar;Dynasty Wars;Final Burn Alpha;;1989;;;;;;;;;;;;
edrandy;Edward Randy;Final Burn Alpha;;1990;;;;;;;;;;;;
eightman;Eight Man;Final Burn Alpha;;1991;;;;;;;;;;;;
Fantastic 4;Fantastic 4;Nintendo Gamecube;;2005;;;;;;;;;;;;
Fantastic Four;Fantastic Four;Sony Playstation;;1997;;;;;;;;;;;;
Fight N Rage;Fight N Rage;PC Games;;2017;;;;;;;;;;;;
Fighting Force (v1.2);Fighting Force;Sony Playstation;;1997;;;;;;;;;;;;
Final Exam;Final Exam;PC Games;;2013;;;;;;;;;;;;
ffight;Final Fight;Final Burn Alpha;;1989;;;;;;;;;;;;
Final Fight (USA);Final Fight;Super Nintendo Entertainment System;;1991;;;;;;;;;;;;
Final Fight 2 (USA);Final Fight 2;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Final Fight 3 (USA);Final Fight 3;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Final Fight CD (Japan);Final Fight CD;Mega CD;;1993;;;;;;;;;;;;
Final Fight Guy (USA);Final Fight Guy;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
Final Vendetta;Final Vendetta;PC Games;;2022;;;;;;;;;;;;
Fist of the North Star (USA);Fist of the North Star;Nintendo Entertainment System;;1987;;;;;;;;;;;;
flashgal;Flashgal;Final Burn Alpha;;1985;;;;;;;;;;;;
Foul Play;Foul Play;PC Games;;2013;;;;;;;;;;;;
gaia;Gaia Crusaders;Final Burn Alpha;;1999;;;;;;;;;;;;
gaiapols;Gaia Crusaders;Final Burn Alpha;;1999;;;;;;;;;;;;
gangwars;Gang Wars;Arcade;;1989;;;;;;;;;;;;
ganryu;Ganryu;Final Burn Alpha;;1999;;;;;;;;;;;;
Gekido Urban Fighters;Gekido: Urban Fighters;Sony Playstation;;1999;;;;;;;;;;;;
ginganin;Ginga NinkyouDen;Final Burn Alpha;;1991;;;;;;;;;;;;
gladiatr;Gladiator;Arcade;;1986;;;;;;;;;;;;
goldnaxe;Golden Axe;Final Burn Alpha;;1989;;;;;;;;;;;;
Golden Axe (World) (v1.1);Golden Axe;Sega Genesis;;1989;;;;;;;;;;;;
ga2;Golden Axe II;Final Burn Alpha;;1991;;;;;;;;;;;;
Golden Axe II (World);Golden Axe II;Sega Genesis;;1991;;;;;;;;;;;;
Golden Axe III (Japan);Golden Axe III;Sega Genesis;;1993;;;;;;;;;;;;
growl;Growl;Final Burn Alpha;;1990;;;;;;;;;;;;
Growl (USA);Growl;Sega Genesis;;1991;;;;;;;;;;;;
guardian;Guardian;Arcade;;1996;;;;;;;;;;;;
GuardianAngel_v1.0_2173;Guardian Angel;Commodore Amiga;;1990;;;;;;;;;;;;
grdians;Guardians;Final Burn Alpha;;1995;;;;;;;;;;;;
hook;Hook;Final Burn Alpha;;1992;;;;;;;;;;;;
Jackie Chan Stuntmaster (USA);Jackie Chan Stuntmaster;Sony Playstation;;2000;;;;;;;;;;;;
Jackie Chan's Action Kung Fu (USA);Jackie Chan's Action Kung Fu;NEC Turbografx-16;;1990;;;;;;;;;;;;
Jim Lee's WildC.A.T.S - Covert Action Teams (USA);Jim Lee's WildC.A.T.S: Covert Action Teams;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
jdreddp;Judge Dredd;Arcade;;1993;;;;;;;;;;;;
Juuouki (Japan);Juuouki;NEC PC Engine;;1989;;;;;;;;;;;;
kabukiz;Kabuki-Z;Arcade;;1988;;;;;;;;;;;;
karatblz;Karate Blazers;Final Burn Alpha;;1991;;;;;;;;;;;;
kengo;Kengo;Final Burn Alpha;;1986;;;;;;;;;;;;
kicker;Kicker;Final Burn Alpha;;1985;;;;;;;;;;;;
kod;King of Dragons;Final Burn Alpha;;1991;;;;;;;;;;;;
knights;Knights of the Round;Final Burn Alpha;;1991;;;;;;;;;;;;
Knights of the Round (USA);Knights of the Round;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
kov;Knights of Valour;Final Burn Alpha;;1999;;;;;;;;;;;;
kov2;Knights of Valour 2;Final Burn Alpha;;2000;;;;;;;;;;;;
kov2p;Knights of Valour 2 Plus;Final Burn Alpha;;2000;;;;;;;;;;;;
kovsh;Knights of Valour Super Heroes;Final Burn Alpha;;1999;;;;;;;;;;;;
kov7sprt;Knights of Valour: Seven Spirits;Final Burn Alpha;;2003;;;;;;;;;;;;
kbash;Knuckle Bash;Final Burn Alpha;;1993;;;;;;;;;;;;
Kung Fu (USA);Kung Fu;Nintendo Entertainment System;;1985;;;;;;;;;;;;
kungfum;Kung-Fu Master;Final Burn Alpha;;1984;;;;;;;;;;;;
kyros;Kyros;Final Burn Alpha;;1986;;;;;;;;;;;;
Last Action Hero (USA, Europe);Last Action Hero;Sega Genesis;;1993;;;;;;;;;;;;
Last Action Hero (USA);Last Action Hero;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Last Battle (USA, Europe);Last Battle;Sega Genesis;;1989;;;;;;;;;;;;
Legend;Legend;Sony Playstation;;1994;;;;;;;;;;;;
Legend (USA);Legend;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
legendoh;Legend of Hero Tonma;Arcade;;1989;;;;;;;;;;;;
legendos;Legend of Success Joe;Final Burn Alpha;;1991;;;;;;;;;;;;
Marvel Super Heroes - War of the Gems (USA);Marvel Super Heroes: War of the Gems;Super Nintendo Entertainment System;;1996;;;;;;;;;;;;
Mazin Saga - Mutant Fighter (USA);Mazin Saga: Mutant Fighter;Sega Genesis;;1993;;;;;;;;;;;;
metamrph;Metamorphic Force;Final Burn Alpha;;1993;;;;;;;;;;;;
mwalk;Michael Jackson's Moonwalker;Final Burn Alpha;;1990;;;;;;;;;;;;
Michael Jackson's Moonwalker (World) (Rev A);Michael Jackson's Moonwalker;Sega Genesis;;1990;;;;;;;;;;;;
Mighty Final Fight (USA);Mighty Final Fight;Nintendo Entertainment System;;1993;;;;;;;;;;;;
mightguy;Mighty Guy;Arcade;;1986;;;;;;;;;;;;
Mighty Morphin Power Rangers (USA);Mighty Morphin Power Rangers;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Mighty Morphin Power Rangers - The Movie (USA);Mighty Morphin Power Rangers: The Movie;Sega Genesis;;1995;;;;;;;;;;;;
Mighty Morphin Power Rangers - The Movie (USA);Mighty Morphin Power Rangers: The Movie;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Mortal Kombat - Special Forces (E);Mortal Kombat: Special Forces;Sony Playstation;;2000;;;;;;;;;;;;
Mother Russia Bleeds;Mother Russia Bleeds;PC Games;;2016;;;;;;;;;;;;
mugsmash;Mug Smashers;Final Burn Alpha;;1990;;;;;;;;;;;;
mutnat;Mutation Nation;Final Burn Alpha;;1992;;;;;;;;;;;;
myhero;My Hero;Final Burn Alpha;;1985;;;;;;;;;;;;
Mystical Fighter (USA);Mystical Fighter;Sega Genesis;;1992;;;;;;;;;;;;
nbbatman;NBA Jam;Final Burn Alpha;;1993;;;;;;;;;;;;
Nekketsu Oyako (Japan);Nekketsu Oyako;Sony Playstation;;1994;;;;;;;;;;;;
nslasher;Night Slashers;Arcade;;1993;;;;;;;;;;;;
ninclown;Ninja Clowns;Arcade;;1991;;;;;;;;;;;;
ncombat;Ninja Combat;Final Burn Alpha;;1990;;;;;;;;;;;;
gaiden;Ninja Gaiden;Final Burn Alpha;;1988;;;;;;;;;;;;
ninjak;Ninja Kids;Final Burn Alpha;;1990;;;;;;;;;;;;
ninjaw;Ninja Warriors;Final Burn Alpha;;1987;;;;;;;;;;;;
Ninja - Shadow of Darkness;Ninja: Shadow of Darkness;Sony Playstation;;1998;;;;;;;;;;;;
orlegend;Oriental Legend;Final Burn Alpha;;1997;;;;;;;;;;;;
pow;P.O.W.: Prisoners of War;Final Burn Alpha;;1988;;;;;;;;;;;;
Panzer Bandit;Panzer Bandit;Sony Playstation;;1997;;;;;;;;;;;;
pulirula;PuLiRuLa;Final Burn Alpha;;1991;;;;;;;;;;;;
Rampage Knights;Rampage Knights;PC Games;;2015;;;;;;;;;;;;
rmpgwt;Rampage World Tour;Final Burn Alpha;;1997;;;;;;;;;;;;
Redeemer Enhanced Edition;Redeemer Enhanced Edition;PC Games;;2019;;;;;;;;;;;;
Renegade_v1.2;Renegade;Commodore Amiga;;1987;;;;;;;;;;;;
renegade;Renegade;Final Burn Alpha;;1986;;;;;;;;;;;;
Renegade (USA);Renegade;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Renegade3_v1.0;Renegade 3;Commodore Amiga;;1992;;;;;;;;;;;;
ridingf;Riding Fight;Final Burn Alpha;;1992;;;;;;;;;;;;
riotcity;Riot City;Final Burn Alpha;;1991;;;;;;;;;;;;
Rival Turf! (USA);Rival Turf!;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
