#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Dynamite Cop;Dynamite Cop;Sega Dreamcast;;;;;;;;;;;;;;;;;;
ECCO the Dolphin - Defender of the Future;ECCO the Dolphin - Defender of the Future;Sega Dreamcast;;;;;;;;;;;;;;;;;;
ECW Anarchy Rulz;ECW Anarchy Rulz;Sega Dreamcast;;;;;;;;;;;;;;;;;;
ECW Hardcore Revolution;ECW Hardcore Revolution;Sega Dreamcast;;;;;;;;;;;;;;;;;;
ESPN International Track & Field;ESPN International Track & Field;Sega Dreamcast;;;;;;;;;;;;;;;;;;
ESPN NBA 2Night;ESPN NBA 2Night;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Elemental Gimmick Gear;Elemental Gimmick Gear;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Evil Dead - Hail to the King;Evil Dead - Hail to the King;Sega Dreamcast;;;;;1;;;;;;;Evil Dead: Hail to the King;;;;;;
Evil Twin - Cyprien's Chronicles;Evil Twin - Cyprien's Chronicles;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Evolution - The World of Sacred Device;Evolution - The World of Sacred Device;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Evolution 2 - Far Off Promise;Evolution 2 - Far Off Promise;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Exhibition of Speed;Exhibition of Speed;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Expendable;Expendable;Sega Dreamcast;;;;;2;;;;;;;Expendable;;;;;;
F1 Racing Championship;F1 Racing Championship;Sega Dreamcast;;;;;;;;;;;;;;;;;;
F1 World Grand Prix;F1 World Grand Prix;Sega Dreamcast;;;;;;;;;;;;;;;;;;
F1 World Grand Prix II;F1 World Grand Prix II;Sega Dreamcast;;;;;;;;;;;;;;;;;;
F355 Challenge - Passione Rossa;F355 Challenge - Passione Rossa;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Fast Striker;Fast Striker;Sega Dreamcast;;;;;2;;;;;;;Fast Striker;;;;;;
Fatal Fury - Mark of the Wolves (USA);Fatal Fury - Mark of the Wolves (USA);Sega Dreamcast;;;;;;;;;;;;;;;;;;
Fighting Force 2;Fighting Force 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Fighting Vipers 2;Fighting Vipers 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Fire ProWrestling D;Fire ProWrestling D;Sega Dreamcast;;;;;4;;;;;;;Fire ProWrestling D;;;;;;
Flag to Flag;Flag to Flag;Sega Dreamcast;;;;;;;;;;;;;;;;;;
The Flintstones - Viva Rock Vegas;The Flintstones - Viva Rock Vegas;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Floigan Bros - Episode 1;Floigan Bros - Episode 1;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Frame Gride;Frame Gride;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Freestyle Scooter;Freestyle Scooter;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Frogger 2 - Swampys Revenge;Frogger 2 - Swampys Revenge;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Fur Fighters;Fur Fighters;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Gauntlet Legends;Gauntlet Legends;Sega Dreamcast;;;;;;;;;;;;;;;;;;
GigaWing;GigaWing;Sega Dreamcast;;;;;;;;;;;;;;;;;;
GigaWing 2;GigaWing 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Grand Theft Auto 2;Grand Theft Auto 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Grandia II;Grandia II;Sega Dreamcast;;;;;;;;;;;;;;;;;;
The Grinch;The Grinch;Sega Dreamcast;;;;;1;;;;;;;The Grinch;;;;;;
GunLord;GunLord;Sega Dreamcast;;;;;1;;;;;;;Gunlord;;;;;;
Head Hunter CD 1;Head Hunter CD 1;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Head Hunter CD 2;Head Hunter CD 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Heavy Metal - Geomatrix;Heavy Metal - Geomatrix;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Hellgate;Hellgate;Sega Dreamcast;;;;;;;;;;;;Hellgate;;;;;;
Hidden & Dangerous;Hidden & Dangerous;Sega Dreamcast;;;;;;;;;;;;;;;;;;
House of the Dead 2;House of the Dead 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Hydra Castle;Hydra Castle;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Hydro Thunder;Hydro Thunder;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Ikaruga;Ikaruga;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Illbleed;Illbleed;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Incoming;Incoming;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Intrepid Izzy;Intrepid Izzy;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Irides - Master of Blocks;Irides - Master of Blocks;Sega Dreamcast;;;;;4;;;;;;;Irides: Master of Blocks;;;;;;
Iron Aces;Iron Aces;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Jeremy McGrath Supercross 2000;Jeremy McGrath Supercross 2000;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Jet Set Radio;Jet Set Radio;Sega Dreamcast;;;;;;;;;;;;;;;;;;
KAO the Kangaroo;KAO the Kangaroo;Sega Dreamcast;;;;;;;;;;;;;;;;;;
KISS Psycho Circus - The Nightmare Child;KISS Psycho Circus - The Nightmare Child;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Karous;Karous;Sega Dreamcast;;;;;1;;;;;;;Karous;;;;;;
The King of Fighters Evolution;The King of Fighters Evolution;Sega Dreamcast;;;;;2;;;;;;;The King of Fighters Evolution;;;;;;
Last Hope;Last Hope;Sega Dreamcast;;;;;1;;;;;;;Last Hope;;;;;;
Legacy of Kain - Soul Reaver;Legacy of Kain - Soul Reaver;Sega Dreamcast;;;;;1;;;;;;;Legacy of Kain: Soul Reaver;;;;;;
Looney Tunes - Space Race;Looney Tunes - Space Race;Sega Dreamcast;;;;;;;;;;;;;;;;;;
MDK2;MDK2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
MTV Sports - Skateboarding Featuring Andy Macdonald;MTV Sports - Skateboarding Featuring Andy Macdonald;Sega Dreamcast;;;;;1;;;;;;;MTV Sports: Skateboarding Featuring Andy MacDonald;;;;;;
Magforce Racing;Magforce Racing;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Maken X;Maken X;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Mars Matrix;Mars Matrix;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Marvel vs. Capcom - Clash of Super Heroes;Marvel vs. Capcom - Clash of Super Heroes;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Marvel vs. Capcom 2 - The New Age of Heroes;Marvel vs. Capcom 2 - The New Age of Heroes;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Mat Hoffmans Pro BMX;Mat Hoffmans Pro BMX;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Max Steel - Covert Missions;Max Steel - Covert Missions;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Metropolis Street Racer;Metropolis Street Racer;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Monaco Grand Prix Racing Simulation 2;Monaco Grand Prix Racing Simulation 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Mortal Kombat Gold (USA);Mortal Kombat Gold (USA);Sega Dreamcast;;;;;2;;;;;;;Mortal Kombat Gold;;;;;;
Mr. Driller;Mr. Driller;Sega Dreamcast;;;;;1;;;;;;;Mr. Driller;;;;;;
