#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Deep Duck Trouble Starring Donald Duck (USA, Europe);Deep Duck Trouble Starring Donald Duck;Sega Game Gear;;1993;Aspect;Action/Platformer;;;;;0;;;;;
Defenders of Oasis (USA, Europe);Defenders of Oasis;Sega Game Gear;;1992;Sega;Role-Playing/General;;;;;0;;;;;
Desert Speedtrap (USA);Desert Speedtrap;Sega Game Gear;;1994;Probe Entertainment;Action/General;;;;;0;;;;;
Desert Strike - Return to the Gulf (USA, Europe);Desert Strike: Return to the Gulf;Sega Game Gear;;1994;Electronic Arts;Action/General;;;;;0;;;;;
Devilish (USA);Devilish;Sega Game Gear;;1991;OperaHouse;Action/General;;;;;0;;;;;
Double Dragon (USA, Europe);Double Dragon;Sega Game Gear;;1993;Virgin Interactive;Action/Beat-'Em-Up;;;;;0;;;;;
Dr. Robotnik's Mean Bean Machine (USA, Europe);Dr. Robotnik's Mean Bean Machine;Sega Game Gear;;1993;Compile;Puzzle/Miscellaneous;;;;;0;;;;;
Dragon Crystal (USA, Europe);Dragon Crystal;Sega Game Gear;;1990;Sega;Role-Playing/Action RPG;;;;;0;;;;;
Dragon - The Bruce Lee Story (USA);Dragon: The Bruce Lee Story;Sega Game Gear;;1993;Virgin Interactive;Action/Platformer;;;;;0;;;;;
Dropzone (USA);Dropzone;Sega Game Gear;;1994;Codemasters;Action/Shooter;;;;;0;;;;;
Dynamite Headdy (USA, Europe);Dynamite Headdy;Sega Game Gear;;1994;Treasure;Action/General;;;;;0;;;;;
Earthworm Jim (USA, Europe);Earthworm Jim;Sega Game Gear;;1995;Eurocom Entertainment Software;Action/Platformer;;;;;0;;;;;
Ecco II - The Tides of Time (USA, Europe);Ecco II: The Tides of Time;Sega Game Gear;;1995;Sega;Action/General;;;;;0;;;;;
Ecco the Dolphin (USA);Ecco the Dolphin;Sega Game Gear;;1994;Sega;Action/General;;;;;0;;;;;
Ernie Els Golf (Europe) (En,Fr,De,Es,It);Ernie Els Golf;Sega Game Gear;;1994;Codemasters;Sports/Golf;;;;;0;;;;;
Evander Holyfield Boxing (USA, Europe);Evander Holyfield Boxing;Sega Game Gear;;1992;Sega;Sports/Boxing;;;;;0;;;;;
Excellent Dizzy Collection, The (Europe);Excellent Dizzy Collection, The;Sega Game Gear;;1993;Codemasters;Miscellaneous/Compilation;;;;;0;;;;;
F-15 Strike Eagle (USA, Europe);F-15 Strike Eagle;Sega Game Gear;;1993;NMS Software;Simulation/Flight;;;;;0;;;;;
