#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Red & Ted's Roadshow (Williams);Red & Ted's Roadshow;Pinball Arcade;;1994;Williams;Pinball;;;;;0;;;;;;;;;
Ripley's Believe It or Not! (Stern);Ripley's Believe It or Not! (Stern);Pinball Arcade;;2004;Stern;Pinball;;;;;0;;;;;;;;;
Safe Cracker (Bally);Safe Cracker (Bally);Pinball Arcade;;1996;Bally;Pinball;;;;;0;;;;;;;;;
Scared Stiff (Bally);Scared Stiff (Bally);Pinball Arcade;;1996;Bally;Pinball;;;;;0;;;;;;;;;
Space Shuttle (Williams);Space Shuttle (Williams);Pinball Arcade;;1984;Williams;Pinball;;;;;0;;;;;;;;;
Star Trek - The Next Generation (Williams);Star Trek - The Next Generation (Williams);Pinball Arcade;;1993;Williams;Pinball;;;;;0;;;;;;;;;
Starship Troopers (Sega);Starship Troopers (Sega);Pinball Arcade;;1997;Sega;Pinball;;;;;0;;;;;;;;;
Tales of the Arabian Nights (Williams);Tales of the Arabian Nights (Williams);Pinball Arcade;;1996;Williams;Pinball;;;;;0;;;;;;;;;
Taxi (Williams);Taxi (Williams);Pinball Arcade;;1988;Williams;Pinball;;;;;0;;;;;;;;;
Tee'd Off (Gottlieb);Tee'd Off (Gottlieb);Pinball Arcade;;1993;Gottlieb;Pinball;;;;;0;;;;;;;;;
Terminator 2 - Judgment Day (Williams);Terminator 2 - Judgment Day (Williams);Pinball Arcade;;1991;Williams;Pinball;;;;;0;;;;;;;;;
Theatre of Magic (Bally);Theatre of Magic (Bally);Pinball Arcade;;1995;Bally;Pinball;;;;;0;;;;;;;;;
Twilight Zone (Bally);Twilight Zone (Bally);Pinball Arcade;;1993;Bally;Pinball;;;;;0;;;;;;;;;
Victory (Gottlieb);Victory (Gottlieb);Pinball Arcade;;1987;Gottlieb;Pinball;;;;;0;;;;;;;;;
WHO Dunnit (Bally);WHO Dunnit (Bally);Pinball Arcade;;1995;Bally;Pinball;;;;;0;;;;;;;;;
Whirlwind (Williams);Whirlwind (Williams);Pinball Arcade;;1990;Williams;Pinball;;;;;0;;;;;;;;;
White Water (Williams);White Water (Williams);Pinball Arcade;;1993;Williams;Pinball;;;;;0;;;;;;;;;
Xenon (Bally);Xenon;Pinball Arcade;;1980;Bally;Pinball;;;;;0;;;;;;;;;
