#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Metal Fighter (USA) (Unl) (Color Dreams);Metal Fighter;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Millipede (USA);Millipede;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Mission Cobra (USA) (Unl);Mission Cobra;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Moon Ranger (USA) (Unl);Moon Ranger;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Otocky (Japan) [b];Otocky;Nintendo Famicom Disk System;;1987;;;;;;;;;;;;
Over Horizon (Europe);Over Horizon;Nintendo Entertainment System;;1991;;;;;;;;;;;;
P'radikus Conflict, The (USA) (Unl);P'Radikus Conflict;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Parodius (Europe);Parodius da!;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Quarth (Japan);Quarth;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Raid on Bungeling Bay (USA);Raid on Bungeling Bay;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Robocco Wars (Japan) [En by Stardust Crusaders v1.0];Robocco Wars;Nintendo Entertainment System;;1991;;;;;;;;;;;;
S.C.A.T. - Special Cybernetic Attack Team (USA);S.C.A.T.: Special Cybernetic Attack Team;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Sansuu 5 & 6 Nen - Keisan Game (J);Sansuu 5 & 6 Nen: Keisan Game;Nintendo Entertainment System;;1986;;;;;;;;;;;;
Sea of Dreamland (Unl) [!];Sea of Dreamland;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Section-Z (USA);Section-Z;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Sexy Invaders (Japan) (Unl);Sexy Invaders;Nintendo Famicom Disk System;;1991;;;;;;;;;;;;
Silk Worm (USA);Silk Worm;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Silver Surfer (USA);Silver Surfer;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Sky Kid (USA);Sky Kid;Nintendo Entertainment System;;1986;;;;;;;;;;;;
Sky Shark (USA) (Rev 0A);Sky Shark;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Space Invaders (Japan);Space Invaders;Nintendo Entertainment System;;1985;;;;;;;;;;;;
Sqoon (USA);Sqoon;Nintendo Entertainment System;;1986;;;;;;;;;;;;
Star Force (USA);Star Force;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Star Soldier (USA);Star Soldier;Nintendo Entertainment System;;1986;;;;;;;;;;;;
Starship Hector (USA);Starship Hector;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Stinger (USA);Stinger;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Summer Carnival '92;Summer Carnival '92: Recca;Nintendo Entertainment System;;1992;;;;;;;;;;;;
Super Star Force (Japan);Super Star Force;Nintendo Entertainment System;;1986;;;;;;;;;;;;
Super Xevious - Gump no Nazo (Japan);Super Xevious: Gump no Nazo;Nintendo Entertainment System;;1986;;;;;;;;;;;;
Taiyou no Yuusha Firebird (J) [T+Eng1.01_Dragoon-X];Taiyou no Yuusha Firebird;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Tale Spin (USA);TaleSpin;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Tasac (1992)(Sachen)(AS)[p][!][SA-021];Tasac;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Terra Cresta (USA);Terra Cresta;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Guardian Legend, The (USA);The Guardian Legend;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Hunt for Red October, The (USA) (Rev A);The Hunt for Red October;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Last Starfighter, The (USA);The Last Starfighter;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Thunderbirds (USA);Thunderbirds;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Thunderbolt 2 (Ch) [!];Thunderbolt 2;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Thundercade (USA);Thundercade;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Tiger-Heli (USA);Tiger-Heli;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Titan Warriors (USA) (Proto);Titan Warriors;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Topple Zip (Japan) [b];Topple;Nintendo Famicom Disk System;;1990;;;;;;;;;;;;
Twin Cobra (USA);Twin Cobra;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Twin Eagle - Revenge Joe's Brother (USA);Twin Eagle;Nintendo Entertainment System;;1990;;;;;;;;;;;;
TwinBee (Japan) (Disk Writer);TwinBee;Nintendo Famicom Disk System;;1986;;;;;;;;;;;;
TwinBee 3 - Poko Poko Daimaou (Japan);TwinBee 3: Poko Poko Daimaou;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Uchuu Keibitai SDF (J);Uchuu Keibitai SDF;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Volguard II (Japan);Volguard II;Nintendo Entertainment System;;1985;;;;;;;;;;;;
War_In_The_Gulf;War In The Gulf;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Xevious - The Avenger (USA);Xevious: The Avenger;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Zanac (USA);Zanac;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Zombie Nation (USA);Zombie Nation;Nintendo Entertainment System;;1990;;;;;;;;;;;;
