#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Battletoads & Double Dragon (USA);Battletoads & Double Dragon;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Battletoads in Battlemaniacs (USA);Battletoads in Battlemaniacs;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Bazooka Blitzkrieg (USA);Bazooka Blitzkrieg;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
Beauty and the Beast (USA);Beauty and the Beast;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Beavis and Butt-Head (USA);Beavis and Butt-Head;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Bebe's Kids (USA);Bebe's Kids;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Beethoven - The Ultimate Canine Caper! (USA);Beethoven: The Ultimate Canine Caper!;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Best of the Best - Championship Karate (USA);Best of the Best: Championship Karate;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
Big Sky Trooper (USA);Big Sky Trooper;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Biker Mice from Mars (USA);Biker Mice from Mars;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Bill Laimbeer's Combat Basketball (USA);Bill Laimbeer's Combat Basketball;Super Nintendo Entertainment System;;1991;;;;;;;;;;;;
Bill Walsh College Football (USA);Bill Walsh College Football;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
BioMetal (USA);BioMetal;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Blackthorne (USA);Blackthorne;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
BlaZeon - The Bio-Cyborg Challenge (USA);BlaZeon: The Bio-Cyborg Challenge;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
Bobby's World (USA) (Proto);Bobby's World;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Bonkers (USA);Bonkers;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Boogerman - A Pick and Flick Adventure (USA);Boogerman: A Pick and Flick Adventure;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Boxing Legends of the Ring (USA);Boxing Legends of the Ring;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Brain Lord (USA);Brain Lord;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Bram Stoker's Dracula (USA);Bram Stoker's Dracula;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Brandish (USA);Brandish;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Brandish 2 - The Planet Buster;Brandish 2: The Planet Buster;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Brawl Brothers (USA);Brawl Brothers;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
BreakThru! (USA);BreakThru!;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Breath of Fire (USA);Breath of Fire;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Breath of Fire II (USA);Breath of Fire II;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Brett Hull Hockey (USA);Brett Hull Hockey;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Brett Hull Hockey '95 (USA);Brett Hull Hockey '95;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Bronkie the Bronchiasaurus (USA);Bronkie the Bronchiasaurus;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Brunswick World Tournament of Champions (USA);Brunswick World Tournament of Champions;Super Nintendo Entertainment System;;1997;;;;;;;;;;;;
Brutal - Paws of Fury (USA);Brutal: Paws of Fury;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Bubsy II (USA);Bubsy II;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Bubsy in Claws Encounters of the Furred Kind (USA);Bubsy in Claws Encounters of the Furred Kind;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Bugs Bunny - Rabbit Rampage (USA);Bugs Bunny: Rabbit Rampage;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Bulls vs Blazers and the NBA Playoffs (USA);Bulls vs Blazers and the NBA Playoffs;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
Bust-A-Move (USA);Bust-A-Move;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Cacoma Knight in Bizyland (USA);Cacoma Knight in Bizyland;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Cal Ripken Jr. Baseball (USA);Cal Ripken Jr. Baseball;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
California Games II (USA);California Games II;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Cannon Fodder (Europe);Cannon Fodder;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Cannondale Cup (USA);Cannondale Cup;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Capcom's MVP Football (USA);Capcom's MVP Football;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Capcom's Soccer Shootout (USA);Capcom's Soccer Shootout;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Captain America and the Avengers (USA);Captain America and the Avengers;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Captain Commando (USA);Captain Commando;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Captain Novolin (USA);Captain Novolin;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
Captain Tsubasa III Koutei No Chousen;Captain Tsubasa III Koutei No Chousen;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
Captain Tsubasa IV Pro no Rival Tachi;Captain Tsubasa IV Pro no Rival Tachi;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
