#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
STARWARS_Episode_5;STARWARS Episode 5;Pinball FX3;;;;;;;;;;;;;;;;;;
STARWARS_Episode_6;STARWARS Episode 6;Pinball FX3;;;;;;;;;;;;;;;;;;
STARWARS_Han_Solo;STARWARS Han Solo;Pinball FX3;;;;;;;;;;;;;;;;;;
STARWARS_LAPB;STARWARS LAPB;Pinball FX3;;;;;;;;;;;;;;;;;;
STARWARS_Light_VS_Dark;STARWARS Light VS Dark;Pinball FX3;;;;;;;;;;;;;;;;;;
STARWARS_Rebels;STARWARS Rebels;Pinball FX3;;;;;;;;;;;;;;;;;;
STARWARS_SFA;STARWARS SFA;Pinball FX3;;;;;;;;;;;;;;;;;;
Shaman;Shaman;Pinball FX3;;;;;;;;;;;;;;;;;;
SpaceBear1;SpaceBear1;Pinball FX3;;;;;;;;;;;;;;;;;;
SpaceBear2;SpaceBear2;Pinball FX3;;;;;;;;;;;;;;;;;;
Tesla;Tesla;Pinball FX3;;;;;;;;;;;;;;;;;;
TheWalkingDead;The Walking Dead;Pinball FX3;;;;;;;;;;;;;;;;;;
UNIVERSAL_BTTF;UNIVERSAL BTTF;Pinball FX3;;;;;;;;;;;;;;;;;;
UNIVERSAL_ET;UNIVERSAL ET;Pinball FX3;;;;;;;;;;;;;;;;;;
UNIVERSAL_Jaws;UNIVERSAL Jaws;Pinball FX3;;;;;;;;;;;;;;;;;;
UNIVERSAL_Jurassic_Park;UNIVERSAL Jurassic Park;Pinball FX3;;;;;;;;;;;;;;;;;;
UNIVERSAL_Jurassic_Theme_Park;UNIVERSAL Jurassic Theme Park;Pinball FX3;;;;;;;;;;;;;;;;;;
UNIVERSAL_Jurassic_World;UNIVERSAL Jurassic World;Pinball FX3;;;;;;;;;;;;;;;;;;
V12;V12;Pinball FX3;;;;;;;;;;;;;;;;;;
WMS_Fish_Tales;Fish Tales;Pinball FX3;;;;;;;;;;;;;;;;;;
WMS_Getaway;Getaway;Pinball FX3;;;;;;;;;;;;;;;;;;
WMS_Hurricane;Hurricane;Pinball FX3;;;;;;;;;;;;;;;;;;
WMS_Junkyard;Junkyard;Pinball FX3;;;;;;;;;;;;;;;;;;
WMS_Medieval_Madness;MedievalMadness;Pinball FX3;;;;;;;;;;;;;;;;;;
WMS_Monster_Bash;Monster Bash;Pinball FX3;;;;;;;;;;;;;;;;;;
WMS_No_Good_Gofers;No Good Gofers;Pinball FX3;;;;;;;;;;;;;;;;;;
WMS_Roadshow;Roadshow;Pinball FX3;;;;;;;;;;;;;;;;;;
WMS_Tales_of_the_Arabian_Nights;Tales of the Arabian Nights;Pinball FX3;;;;;;;;;;;;;;;;;;
WMS_White_Water;White Water;Pinball FX3;;;;;;;;;;;;;;;;;;
Western;Western;Pinball FX3;;;;;;;;;;;;;;;;;;
