#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Championship Manager 2010 Express (Europe);Championship Manager 2010 Express;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Charge! Tank Squad! (USA);Charge! Tank Squad;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Chopper I (USA);Chopper I;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Circles (USA);Circles, Circles, Circles;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Coconut Dodge (USA);Coconut Dodge;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Cohort Chess (USA);Cohort Chess;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Core Blaster (USA);Core Blaster;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Crime Spree (Europe);Crime Spree;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Cubixx (USA);Cubixx;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
D-Cube Planet (USA);D-Cube Planet;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Days of Thunder (USA);Days of Thunder;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Defenders Of The Mystic Garden (USA);Defenders of the Mystic Garden;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Deflector (USA);Deflector;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Denki Blocks (USA);Denki Blocks!;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Digi-tiles (USA);Digi-Tiles;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Doodle Fit (USA);Doodle Fit;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Doodle Pool (USA);Doodle Pool;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Dr. Maybee And The Adventures Of Scary Girl (USA);Dr. Maybee and the Adventures of Scarygirl;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Dr. Minigames (USA);Dr. Mini Games;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Dracula - Undead Awakening (USA);Dracula Undead Awakening;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Drums Challenge (USA);Drums Challenge;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Duae Invaders (Europe);Duæl Invaders;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Ducati Challenge (USA);Ducati Challenge;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Dynogems (USA);Dynogems;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Earth Shield (USA);Earthshield;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Echoes (USA);Echoes;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Edge (USA);Edge;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Enchanted Cavern (Europe);Enchanted Cavern;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Enigmo (USA);Enigmo;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Epyxs Impossible Mission (Europe);Epyx's Impossible Mission;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Express Raider (USA);Express Raider;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Family Games Pen & Paper Edition (USA);Family Games;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Farm Frenzy (USA);Farm Frenzy;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Farm Frenzy 2 (USA);Farm Frenzy 2;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Farm Frenzy 3 (USA);Farm Frenzy 3;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Farm Frenzy - Pizza Party (Europe);Farm Frenzy: Pizza Party;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Feisty Feet (USA);Feisty Feet;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Fieldrunners (USA);Fieldrunners;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Fighting Fantasy - Talisman of Death (USA);Fighting Fantasy: Talisman of Death;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Fighting Fantasy - The Warlock of Firetop Mountain (USA);Fighting Fantasy: The Warlock of Firetop Mountain;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Finger Connection (USA);Finger Connection;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Fish Tank (USA);Fish Tank;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Flick Fishing (USA);Flick Fishing;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Floating Cloud God Saves The Pilgrims (USA);Floating Cloud God Saves the Pilgrims;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Fly Fu (USA);Fly Fu;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Forest Puzzle (USA);Forest Puzzle;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Fort Commander - King's Gambit (USA);Fort Commander: King's Gambit;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Fort Commander II - Counterattack (USA);Fort Commander II: Counterattack;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Fortix (USA);Fortix;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Free Shot Frenzy (Europe);Free Shot Frenzy;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Freekscape - Escape From Hell (USA);Freekscape: Escape From Hell;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Funky Punch (USA);Funky Punch;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Future Fight (Europe);Future Fight;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Galcon Labs (USA);Galcon Labs;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Gamocracy One - Legend of Robot (USA);Gamocracy One: Legend of Robot;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Gang Wars (USA);Gang Wars;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Gold Fever (USA);Gold Fever;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Gold Medalist (USA);Gold Medalist;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Golf Mania (USA);Golf Mania;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
greenTechPLUS (Europe);greenTechPLUS+;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Guerrilla War (USA);Guerrilla War;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
